"","#Method","IterScale","Repeat","Metric","Value","TreeName","Time","PGSExperiments.iterScalings","gen.nTaxa"
"123","SMC4K2P",45,4,"PartitionMetric",16,"sim--639330916.msf",56642,45,40
"124","SMC4K2P",45,4,"RobinsonFouldsMetric",0.201118087407257,"sim--639330916.msf",56642,45,40
"125","SMC4K2P",45,4,"KuhnerFelsenstein",0.00112172952872388,"sim--639330916.msf",56642,45,40
"126","SMC4K2P",45,5,"ConsensusLogLL",-5384.92608605808,"sim--639330916.msf",57964,45,40
"127","SMC4K2P",45,5,"BestSampledLogLL",-5385.57843394527,"sim--639330916.msf",57964,45,40
"128","SMC4K2P",45,5,"PartitionMetric",16,"sim--639330916.msf",57964,45,40
"129","SMC4K2P",45,5,"RobinsonFouldsMetric",0.176981337727824,"sim--639330916.msf",57964,45,40
"130","SMC4K2P",45,5,"KuhnerFelsenstein",0.000924061029067808,"sim--639330916.msf",57964,45,40
"131","SMC4K2P",45,6,"ConsensusLogLL",-5398.35647355791,"sim--639330916.msf",56992,45,40
"132","SMC4K2P",45,6,"BestSampledLogLL",-5397.60060068223,"sim--639330916.msf",56992,45,40
"133","SMC4K2P",45,6,"PartitionMetric",12,"sim--639330916.msf",56992,45,40
"134","SMC4K2P",45,6,"RobinsonFouldsMetric",0.203232048287299,"sim--639330916.msf",56992,45,40
"135","SMC4K2P",45,6,"KuhnerFelsenstein",0.00115458790114934,"sim--639330916.msf",56992,45,40
"136","SMC4K2P",45,7,"ConsensusLogLL",-5416.62089050412,"sim--639330916.msf",57342,45,40
"137","SMC4K2P",45,7,"BestSampledLogLL",-5417.0247739555,"sim--639330916.msf",57342,45,40
"138","SMC4K2P",45,7,"PartitionMetric",12,"sim--639330916.msf",57342,45,40
"139","SMC4K2P",45,7,"RobinsonFouldsMetric",0.243941476069934,"sim--639330916.msf",57342,45,40
"140","SMC4K2P",45,7,"KuhnerFelsenstein",0.00256378672522858,"sim--639330916.msf",57342,45,40
"141","SMC4K2P",45,8,"ConsensusLogLL",-5373.70698987594,"sim--639330916.msf",57323,45,40
"142","SMC4K2P",45,8,"BestSampledLogLL",-5374.79002633097,"sim--639330916.msf",57323,45,40
"143","SMC4K2P",45,8,"PartitionMetric",12,"sim--639330916.msf",57323,45,40
"144","SMC4K2P",45,8,"RobinsonFouldsMetric",0.151689001649271,"sim--639330916.msf",57323,45,40
"145","SMC4K2P",45,8,"KuhnerFelsenstein",0.000741831486197745,"sim--639330916.msf",57323,45,40
"146","SMC4K2P",45,9,"ConsensusLogLL",-5427.7882679875,"sim--639330916.msf",56281,45,40
"147","SMC4K2P",45,9,"BestSampledLogLL",-5426.80032347388,"sim--639330916.msf",56281,45,40
"148","SMC4K2P",45,9,"PartitionMetric",14,"sim--639330916.msf",56281,45,40
"149","SMC4K2P",45,9,"RobinsonFouldsMetric",0.251143531284635,"sim--639330916.msf",56281,45,40
"150","SMC4K2P",45,9,"KuhnerFelsenstein",0.0030823094686453,"sim--639330916.msf",56281,45,40
"151","SMC4K2P",45,0,"ConsensusLogLL",-4465.5865309943,"sim-1357050286.msf",58694,45,40
"152","SMC4K2P",45,0,"BestSampledLogLL",-4464.79383796181,"sim-1357050286.msf",58694,45,40
"153","SMC4K2P",45,0,"PartitionMetric",12,"sim-1357050286.msf",58694,45,40
"154","SMC4K2P",45,0,"RobinsonFouldsMetric",0.14677255079263,"sim-1357050286.msf",58694,45,40
"155","SMC4K2P",45,0,"KuhnerFelsenstein",0.000700196088039575,"sim-1357050286.msf",58694,45,40
"156","SMC4K2P",45,1,"ConsensusLogLL",-4459.23008998889,"sim-1357050286.msf",58440,45,40
"157","SMC4K2P",45,1,"BestSampledLogLL",-4458.40350848511,"sim-1357050286.msf",58440,45,40
"158","SMC4K2P",45,1,"PartitionMetric",6,"sim-1357050286.msf",58440,45,40
"159","SMC4K2P",45,1,"RobinsonFouldsMetric",0.142279884456594,"sim-1357050286.msf",58440,45,40
"160","SMC4K2P",45,1,"KuhnerFelsenstein",0.000616464256476081,"sim-1357050286.msf",58440,45,40
"161","SMC4K2P",45,2,"ConsensusLogLL",-4473.18781272891,"sim-1357050286.msf",58925,45,40
"162","SMC4K2P",45,2,"BestSampledLogLL",-4472.40074755947,"sim-1357050286.msf",58925,45,40
"163","SMC4K2P",45,2,"PartitionMetric",10,"sim-1357050286.msf",58925,45,40
"164","SMC4K2P",45,2,"RobinsonFouldsMetric",0.18512966419022,"sim-1357050286.msf",58925,45,40
"165","SMC4K2P",45,2,"KuhnerFelsenstein",0.000873960280215016,"sim-1357050286.msf",58925,45,40
"166","SMC4K2P",45,3,"ConsensusLogLL",-4467.75991081453,"sim-1357050286.msf",58884,45,40
"167","SMC4K2P",45,3,"BestSampledLogLL",-4465.73477873071,"sim-1357050286.msf",58884,45,40
"168","SMC4K2P",45,3,"PartitionMetric",10,"sim-1357050286.msf",58884,45,40
"169","SMC4K2P",45,3,"RobinsonFouldsMetric",0.161040037555015,"sim-1357050286.msf",58884,45,40
"170","SMC4K2P",45,3,"KuhnerFelsenstein",0.000683834009989816,"sim-1357050286.msf",58884,45,40
"171","SMC4K2P",45,4,"ConsensusLogLL",-4458.42305161975,"sim-1357050286.msf",58464,45,40
"172","SMC4K2P",45,4,"BestSampledLogLL",-4457.21768965115,"sim-1357050286.msf",58464,45,40
"173","SMC4K2P",45,4,"PartitionMetric",12,"sim-1357050286.msf",58464,45,40
"174","SMC4K2P",45,4,"RobinsonFouldsMetric",0.146677593558914,"sim-1357050286.msf",58464,45,40
"175","SMC4K2P",45,4,"KuhnerFelsenstein",0.000654345864412783,"sim-1357050286.msf",58464,45,40
"176","SMC4K2P",45,5,"ConsensusLogLL",-4469.91927689635,"sim-1357050286.msf",59025,45,40
"177","SMC4K2P",45,5,"BestSampledLogLL",-4470.96824615838,"sim-1357050286.msf",59025,45,40
"178","SMC4K2P",45,5,"PartitionMetric",8,"sim-1357050286.msf",59025,45,40
"179","SMC4K2P",45,5,"RobinsonFouldsMetric",0.16649927598857,"sim-1357050286.msf",59025,45,40
"180","SMC4K2P",45,5,"KuhnerFelsenstein",0.000782010438182272,"sim-1357050286.msf",59025,45,40
"181","SMC4K2P",45,6,"ConsensusLogLL",-4454.11487490405,"sim-1357050286.msf",58623,45,40
"182","SMC4K2P",45,6,"BestSampledLogLL",-4452.77527721052,"sim-1357050286.msf",58623,45,40
"183","SMC4K2P",45,6,"PartitionMetric",10,"sim-1357050286.msf",58623,45,40
"184","SMC4K2P",45,6,"RobinsonFouldsMetric",0.136101809184203,"sim-1357050286.msf",58623,45,40
"185","SMC4K2P",45,6,"KuhnerFelsenstein",0.000598005596121022,"sim-1357050286.msf",58623,45,40
"186","SMC4K2P",45,7,"ConsensusLogLL",-4462.81541606506,"sim-1357050286.msf",58903,45,40
"187","SMC4K2P",45,7,"BestSampledLogLL",-4461.7930605512,"sim-1357050286.msf",58903,45,40
"188","SMC4K2P",45,7,"PartitionMetric",10,"sim-1357050286.msf",58903,45,40
"189","SMC4K2P",45,7,"RobinsonFouldsMetric",0.149405946315941,"sim-1357050286.msf",58903,45,40
"190","SMC4K2P",45,7,"KuhnerFelsenstein",0.000672059193238174,"sim-1357050286.msf",58903,45,40
"191","SMC4K2P",45,8,"ConsensusLogLL",-4474.82298180182,"sim-1357050286.msf",57997,45,40
"192","SMC4K2P",45,8,"BestSampledLogLL",-4472.94989695401,"sim-1357050286.msf",57997,45,40
"193","SMC4K2P",45,8,"PartitionMetric",14,"sim-1357050286.msf",57997,45,40
"194","SMC4K2P",45,8,"RobinsonFouldsMetric",0.158570991774986,"sim-1357050286.msf",57997,45,40
"195","SMC4K2P",45,8,"KuhnerFelsenstein",0.000676858822579101,"sim-1357050286.msf",57997,45,40
"196","SMC4K2P",45,9,"ConsensusLogLL",-4452.75978022813,"sim-1357050286.msf",58832,45,40
"197","SMC4K2P",45,9,"BestSampledLogLL",-4450.90607420808,"sim-1357050286.msf",58832,45,40
"198","SMC4K2P",45,9,"PartitionMetric",10,"sim-1357050286.msf",58832,45,40
"199","SMC4K2P",45,9,"RobinsonFouldsMetric",0.135926803087896,"sim-1357050286.msf",58832,45,40
"200","SMC4K2P",45,9,"KuhnerFelsenstein",0.000589919749000472,"sim-1357050286.msf",58832,45,40
"201","SMC4K2P",45,0,"ConsensusLogLL",-6546.26113230324,"sim-1980128383.msf",59058,45,40
"202","SMC4K2P",45,0,"BestSampledLogLL",-6544.80958557104,"sim-1980128383.msf",59058,45,40
"203","SMC4K2P",45,0,"PartitionMetric",16,"sim-1980128383.msf",59058,45,40
"204","SMC4K2P",45,0,"RobinsonFouldsMetric",0.297466036319812,"sim-1980128383.msf",59058,45,40
"205","SMC4K2P",45,0,"KuhnerFelsenstein",0.0029438139691924,"sim-1980128383.msf",59058,45,40
"206","SMC4K2P",45,1,"ConsensusLogLL",-6528.54111057091,"sim-1980128383.msf",60678,45,40
"207","SMC4K2P",45,1,"BestSampledLogLL",-6526.65891803844,"sim-1980128383.msf",60678,45,40
"208","SMC4K2P",45,1,"PartitionMetric",12,"sim-1980128383.msf",60678,45,40
"209","SMC4K2P",45,1,"RobinsonFouldsMetric",0.266620057599157,"sim-1980128383.msf",60678,45,40
"210","SMC4K2P",45,1,"KuhnerFelsenstein",0.002710050912775,"sim-1980128383.msf",60678,45,40
"211","SMC4K2P",45,2,"ConsensusLogLL",-6528.44130015057,"sim-1980128383.msf",59859,45,40
"212","SMC4K2P",45,2,"BestSampledLogLL",-6526.00529241343,"sim-1980128383.msf",59859,45,40
"213","SMC4K2P",45,2,"PartitionMetric",14,"sim-1980128383.msf",59859,45,40
"214","SMC4K2P",45,2,"RobinsonFouldsMetric",0.266952101017182,"sim-1980128383.msf",59859,45,40
"215","SMC4K2P",45,2,"KuhnerFelsenstein",0.00272912805331215,"sim-1980128383.msf",59859,45,40
"216","SMC4K2P",45,3,"ConsensusLogLL",-6519.10709216937,"sim-1980128383.msf",60123,45,40
"217","SMC4K2P",45,3,"BestSampledLogLL",-6519.31728124145,"sim-1980128383.msf",60123,45,40
"218","SMC4K2P",45,3,"PartitionMetric",16,"sim-1980128383.msf",60123,45,40
"219","SMC4K2P",45,3,"RobinsonFouldsMetric",0.229829041657313,"sim-1980128383.msf",60123,45,40
"220","SMC4K2P",45,3,"KuhnerFelsenstein",0.00225540928312802,"sim-1980128383.msf",60123,45,40
"221","SMC4K2P",45,4,"ConsensusLogLL",-6520.4643956164,"sim-1980128383.msf",59183,45,40
"222","SMC4K2P",45,4,"BestSampledLogLL",-6519.94062149859,"sim-1980128383.msf",59183,45,40
"223","SMC4K2P",45,4,"PartitionMetric",14,"sim-1980128383.msf",59183,45,40
"224","SMC4K2P",45,4,"RobinsonFouldsMetric",0.255485617786945,"sim-1980128383.msf",59183,45,40
"225","SMC4K2P",45,4,"KuhnerFelsenstein",0.00258383178730882,"sim-1980128383.msf",59183,45,40
"226","SMC4K2P",45,5,"ConsensusLogLL",-6519.82384982052,"sim-1980128383.msf",60109,45,40
"227","SMC4K2P",45,5,"BestSampledLogLL",-6518.61307909933,"sim-1980128383.msf",60109,45,40
"228","SMC4K2P",45,5,"PartitionMetric",18,"sim-1980128383.msf",60109,45,40
"229","SMC4K2P",45,5,"RobinsonFouldsMetric",0.234452415270537,"sim-1980128383.msf",60109,45,40
"230","SMC4K2P",45,5,"KuhnerFelsenstein",0.00229572106499038,"sim-1980128383.msf",60109,45,40
"231","SMC4K2P",45,6,"ConsensusLogLL",-6518.15278306732,"sim-1980128383.msf",59323,45,40
"232","SMC4K2P",45,6,"BestSampledLogLL",-6517.50826937801,"sim-1980128383.msf",59323,45,40
"233","SMC4K2P",45,6,"PartitionMetric",14,"sim-1980128383.msf",59323,45,40
"234","SMC4K2P",45,6,"RobinsonFouldsMetric",0.234858958992551,"sim-1980128383.msf",59323,45,40
"235","SMC4K2P",45,6,"KuhnerFelsenstein",0.00226856464987072,"sim-1980128383.msf",59323,45,40
"236","SMC4K2P",45,7,"ConsensusLogLL",-6537.35018709885,"sim-1980128383.msf",59910,45,40
"237","SMC4K2P",45,7,"BestSampledLogLL",-6537.53978563361,"sim-1980128383.msf",59910,45,40
"238","SMC4K2P",45,7,"PartitionMetric",16,"sim-1980128383.msf",59910,45,40
"239","SMC4K2P",45,7,"RobinsonFouldsMetric",0.256726322911873,"sim-1980128383.msf",59910,45,40
"240","SMC4K2P",45,7,"KuhnerFelsenstein",0.00239578483440939,"sim-1980128383.msf",59910,45,40
